age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
64,Female,167.6,77.1,27.44,Overweight,1402.9,2539.2,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
65,Male,190.5,104.3,28.75,Overweight,2031.2,3676.5,High Activity,1.81,30.0,0.0,True,Fat Loss,3,2,real,train
61,Female,162.6,81.6,30.9,Obese,1442.1,2610.1,High Activity,1.81,6.0,0.0,True,Fat Loss,9,7,real,train
48,Female,154.9,90.7,37.79,Obese,1558.6,2821.1,High Activity,1.81,35.0,0.0,True,Fat Loss,3,3,real,train
37,Female,170.2,99.8,34.46,Obese,1737.4,3144.6,High Activity,1.81,20.0,10.0,True,Fat Loss,3,3,real,train
58,Female,154.9,81.6,34.01,Obese,1431.4,2218.7,Moderate Activity,1.55,4.0,0.0,True,Fat Loss,2,3,real,train
42,Female,162.6,72.6,27.46,Overweight,1440.4,1858.2,Low Activity,1.29,2.0,1.0,True,Fat Loss,1,2,real,train
41,Male,188.0,102.1,28.89,Overweight,2124.9,3846.1,High Activity,1.81,6.0,1.0,True,Fat Loss,3,2,real,train
64,Female,175.3,95.3,31.01,Obese,1594.2,2885.6,High Activity,1.81,10.0,0.0,True,Fat Loss,3,3,real,train
54,Female,160.0,46.3,18.07,Underweight,1137.3,2058.6,High Activity,1.81,10.0,0.0,True,Muscle Gain,6,4,real,train
39,Female,172.7,59.0,19.77,Normal,1359.1,2459.9,High Activity,1.81,3.0,6.0,True,Muscle Gain,6,5,real,train
62,Male,172.7,81.6,27.37,Overweight,1659.1,3003.0,High Activity,1.81,8.0,0.0,True,Fat Loss,3,2,real,train
31,Male,185.4,86.2,25.07,Overweight,1956.8,3541.8,High Activity,1.81,5.0,2.0,True,Maintenance,9,7,real,train
44,Male,190.5,161.0,44.37,Obese,2910.0,5267.2,High Activity,1.81,10.0,1.0,True,Fat Loss,3,3,real,train
32,Female,170.2,77.1,26.63,Overweight,1549.3,2804.2,High Activity,1.81,10.0,2.0,True,Fat Loss,3,2,real,train
23,Female,162.6,68.0,25.75,Overweight,1480.8,2680.2,High Activity,1.81,80.0,0.0,True,Fat Loss,3,2,real,train
36,Male,190.5,106.6,29.37,Overweight,2226.2,4029.5,High Activity,1.81,14.0,4.0,True,Maintenance,9,7,real,train
47,Female,170.2,59.0,20.36,Normal,1316.6,2383.0,High Activity,1.81,5.0,0.0,True,Fat Loss,3,1,real,train
52,Female,162.6,50.8,19.22,Normal,1195.8,2164.4,High Activity,1.81,7.0,0.0,True,Maintenance,9,6,real,train
43,Female,162.6,59.0,22.31,Normal,1310.3,2371.6,High Activity,1.81,28.0,4.0,True,Maintenance,9,6,real,train
49,Male,170.2,108.9,37.59,Obese,2085.3,3774.4,High Activity,1.81,40.0,4.0,True,Fat Loss,3,3,real,train
51,Female,165.1,90.7,33.28,Obese,1577.1,2854.6,High Activity,1.81,7.0,4.0,True,Fat Loss,3,3,real,train
50,Male,182.9,77.1,23.06,Normal,1715.2,2212.6,Low Activity,1.29,2.0,0.0,True,Maintenance,7,6,real,train
24,Female,154.9,63.5,26.45,Overweight,1410.9,1820.0,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,2,real,train
32,Female,162.6,81.6,30.9,Obese,1567.6,2022.2,Low Activity,1.29,0.0,0.0,True,Fat Loss,1,3,real,train
41,Male,154.9,72.6,30.23,Obese,1571.4,2844.3,High Activity,1.81,7.0,3.0,True,Fat Loss,3,3,real,train
54,Male,175.3,86.2,28.06,Overweight,1777.5,3217.2,High Activity,1.81,6.0,2.0,True,Fat Loss,3,2,real,train
53,Female,165.1,63.5,23.3,Normal,1316.8,2383.4,High Activity,1.81,10.0,7.0,True,Fat Loss,6,3,real,train
54,Male,170.2,70.3,24.28,Normal,1540.4,2788.1,High Activity,1.81,5.0,2.0,True,Fat Loss,3,1,real,train
32,Male,172.7,65.8,22.05,Normal,1616.7,2505.9,Moderate Activity,1.55,3.0,0.0,True,Maintenance,8,6,real,train
58,Female,165.1,95.3,34.95,Obese,1588.7,2875.6,High Activity,1.81,14.0,3.0,True,Fat Loss,3,3,real,train
33,Female,157.5,65.8,26.52,Overweight,1400.8,1807.0,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,2,real,train
42,Male,175.3,71.7,23.33,Normal,1651.1,2988.5,High Activity,1.81,17.0,4.0,True,Maintenance,9,6,real,train
18,Male,180.3,70.3,21.62,Normal,1793.5,3246.3,High Activity,1.81,5.0,10.0,True,Muscle Gain,6,5,real,train
57,Female,162.6,54.4,20.6,Normal,1207.7,2186.0,High Activity,1.81,60.0,20.0,True,Maintenance,9,6,real,train
